TimeStamp,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Position X,Position Y,Position Z,Right Eye Position X,Right Eye Position Y,Right Eye Position Z,Left Eye Position X,Left Eye Position Y,Left Eye Position Z,Center Eye Position X,Center Eye Position Y,Center Eye Position Z,Center Eye Rotation X,Center Eye Rotation Y,Center Eye Rotation Z,Center Eye Rotation W,Left Eye Rotation X,Left Eye Rotation Y,Left Eye Rotation Z,Left Eye Rotation W,Right Eye Rotation X,Right Eye Rotation Y,Right Eye Rotation Z,Right Eye Rotation W
36.74167,-10.014619,-12.370881,26.796396,-0.397093,0.44494352,-0.29668245,-0.3692895,0.45091575,-0.27384943,-0.4206265,0.44831246,-0.24350968,-0.39520994,0.4443175,-0.26013264,0.3111233,0.24393108,-0.05357963,0.9169674,0.350113,0.2502754,-0.046243038,0.9014681,0.3468231,0.24166197,-0.040904094,0.9053397
36.75805,-16.18865,9.566081,37.372173,-0.39546648,0.44423714,-0.29039088,-0.36935332,0.4510144,-0.26756522,-0.4206179,0.44804123,-0.23713723,-0.39518884,0.4442232,-0.25378263,0.30761942,0.24671869,-0.049669996,0.91762364,0.34666538,0.25290266,-0.042200755,0.90226525,0.34332344,0.24428478,-0.036904782,0.90614134
36.774666,2.9624612,8.449607,39.60273,-0.39546648,0.44423714,-0.29039088,-0.3692995,0.45568022,-0.2620358,-0.4204863,0.45215496,-0.23153576,-0.3950427,0.4486119,-0.24821979,0.30653057,0.24962665,-0.04467038,0.9174585,0.3456014,0.25559533,-0.03707561,0.9021398,0.34219876,0.24699292,-0.031800568,0.90602607
36.791683,68.97378,4.984776,7.64949,-0.39546648,0.44423714,-0.29039088,-0.36827007,0.46841443,-0.2547143,-0.41942456,0.4642217,-0.22424443,-0.39398342,0.4610374,-0.24100433,0.31559497,0.25109825,-0.0412958,0.9141357,0.35453555,0.25688922,-0.03368327,0.8984308,0.3511059,0.24836199,-0.02832981,0.9023517
36.808456,52.596703,-17.90809,26.05779,-0.39313993,0.443838,-0.27113822,-0.36420792,0.4625906,-0.24556129,-0.41547653,0.45762056,-0.21540183,-0.38993284,0.4548452,-0.23207822,0.3217705,0.2502136,-0.03504706,0.9124849,0.36066607,0.25571978,-0.027507674,0.8965326,0.35718116,0.24725057,-0.022091916,0.9004448
36.82497,-114.43031,-7.681178,90.71059,-0.39257866,0.4446039,-0.2644314,-0.3690359,0.451686,-0.23589097,-0.42025375,0.4463579,-0.20570646,-0.39461023,0.4437193,-0.22225125,0.3034211,0.2527761,-0.026881663,0.91832304,0.34262985,0.25799176,-0.019154083,0.9031489,0.33903006,0.24943101,-0.013916492,0.907
36.84161,-34.191288,18.54743,50.00056,-0.39270842,0.44524813,-0.25723538,-0.36938176,0.46998775,-0.23410946,-0.42039576,0.4642238,-0.20366105,-0.39478755,0.46179157,-0.22029194,0.29694125,0.2573082,-0.022285227,0.919305,0.33622938,0.26233914,-0.014336094,0.9043905,0.33256325,0.25376356,-0.009176987,0.9082519
36.85849,36.035126,-54.70708,34.705505,-0.39252067,0.446393,-0.25043526,-0.36544758,0.46807072,-0.22933039,-0.41681874,0.4615328,-0.1996483,-0.39095858,0.4595013,-0.21593973,0.30066752,0.25152084,-0.01382535,0.9198615,0.3400107,0.25619268,-0.0061516226,0.90483165,0.3362745,0.24765113,-0.0009314569,0.90861845
36.875137,-33.313225,-84.32699,58.046143,-0.3924242,0.44750127,-0.2436717,-0.36469316,0.4643119,-0.22016768,-0.41657892,0.45720235,-0.19153042,-0.3903473,0.45544842,-0.20725015,0.29422742,0.24268979,-0.003600757,0.9244019,0.3338095,0.24696752,0.003712615,0.9097057,0.32997993,0.23839161,0.008912182,0.9133473
36.8917,-37.216183,-71.819016,25.085302,-0.3924242,0.44750127,-0.2436717,-0.36792254,0.47135392,-0.21328653,-0.42027792,0.4641065,-0.18555294,-0.39374432,0.4624109,-0.200764,0.28839016,0.23412298,0.0015001226,0.9284478,0.32816288,0.2382215,0.008466776,0.91405004,0.3242938,0.22960103,0.01364878,0.9175677
